Date,Brand,Type,Buy,Sell,Spread
2025-03-03 10:20:00,PNJ,Ring,90000.0,91000.0,1000.0
2025-03-03 10:20:00,SJC,Bullion,89000.0,91000.0,2000.0
2025-03-03 10:20:00,SJC,Ring,89000.0,90900.0,1900.0
2025-03-03 10:20:00,PHU-QUY,Bullion,89300.0,91000.0,1700.0
2025-03-03 10:20:00,PHU-QUY,Ring,90300.0,91700.0,1400.0
2025-03-03 10:20:00,BAO-TIN-MINH-CHAU,Bullion,89300.0,91000.0,1700.0
2025-03-03 10:20:00,BAO-TIN-MINH-CHAU,Ring,90500.0,91700.0,1200.0
2025-03-03 10:20:00,BAO-TIN-MANH-HAI,Ring,90500.0,90500.0,0.0
2025-03-03 10:20:00,MI-HONG,Bullion,90600.0,91500.0,900.0
2025-03-03 10:20:00,MI-HONG,Ring,90500.0,91500.0,1000.0
2025-03-03 10:20:00,NGOC-THAM,Bullion,89300.0,91800.0,2500.0
2025-03-03 10:20:00,NGOC-THAM,Ring,89300.0,91500.0,2200.0
2025-03-03 13:15:00,DOJI,Bullion,89000.0,91000.0,2000.0
2025-03-03 13:15:00,DOJI,Ring,90500.0,91500.0,1000.0
2025-03-03 13:15:00,PNJ,Bullion,89000.0,91000.0,2000.0
2025-03-03 13:15:00,PNJ,Ring,90000.0,91000.0,1000.0
2025-03-03 13:15:00,SJC,Bullion,89000.0,91000.0,2000.0
2025-03-03 13:15:00,SJC,Ring,89000.0,90900.0,1900.0
2025-03-03 13:15:00,PHU-QUY,Bullion,89300.0,91000.0,1700.0
2025-03-03 13:15:00,PHU-QUY,Ring,90300.0,91700.0,1400.0
2025-03-03 13:15:00,BAO-TIN-MINH-CHAU,Bullion,89300.0,91000.0,1700.0
2025-03-03 13:15:00,BAO-TIN-MINH-CHAU,Ring,90500.0,91700.0,1200.0
2025-03-03 13:15:00,BAO-TIN-MANH-HAI,Ring,90500.0,90500.0,0.0
2025-03-03 13:15:00,MI-HONG,Bullion,90400.0,91400.0,1000.0
2025-03-03 13:15:00,MI-HONG,Ring,90200.0,91400.0,1200.0
2025-03-03 13:15:00,NGOC-THAM,Bullion,89300.0,91800.0,2500.0
2025-03-03 13:15:00,NGOC-THAM,Ring,89300.0,91500.0,2200.0
2025-03-03 15:15:00,DOJI,Bullion,89000.0,91000.0,2000.0
2025-03-03 15:15:00,DOJI,Ring,90650.0,91500.0,850.0
2025-03-03 15:15:00,PNJ,Bullion,89000.0,91000.0,2000.0
2025-03-03 15:15:00,PNJ,Ring,90000.0,91000.0,1000.0
2025-03-03 15:15:00,SJC,Bullion,89000.0,91000.0,2000.0
2025-03-03 15:15:00,SJC,Ring,89000.0,90900.0,1900.0
2025-03-03 15:15:00,PHU-QUY,Bullion,89300.0,91000.0,1700.0
2025-03-03 15:15:00,PHU-QUY,Ring,90300.0,91700.0,1400.0
2025-03-03 15:15:00,BAO-TIN-MINH-CHAU,Bullion,89300.0,91000.0,1700.0
2025-03-03 15:15:00,BAO-TIN-MINH-CHAU,Ring,90600.0,91800.0,1200.0
2025-03-03 15:15:00,BAO-TIN-MANH-HAI,Ring,90600.0,90600.0,0.0
2025-03-03 15:15:00,MI-HONG,Bullion,90600.0,91400.0,800.0
2025-03-03 15:15:00,MI-HONG,Ring,90300.0,91400.0,1100.0
2025-03-03 15:15:00,NGOC-THAM,Bullion,89500.0,92000.0,2500.0
2025-03-03 15:15:00,NGOC-THAM,Ring,89400.0,91600.0,2200.0
2025-03-03 18:10:00,DOJI,Bullion,89000.0,91000.0,2000.0
2025-03-03 18:10:00,DOJI,Ring,90650.0,91500.0,850.0
2025-03-03 18:10:00,PNJ,Bullion,89000.0,91000.0,2000.0
2025-03-03 18:10:00,PNJ,Ring,90000.0,91000.0,1000.0
2025-03-03 18:10:00,SJC,Bullion,89000.0,91000.0,2000.0
2025-03-03 18:10:00,SJC,Ring,89000.0,90900.0,1900.0
2025-03-03 18:10:00,PHU-QUY,Bullion,89300.0,91000.0,1700.0
2025-03-03 18:10:00,PHU-QUY,Ring,90300.0,91700.0,1400.0
2025-03-03 18:10:00,BAO-TIN-MINH-CHAU,Bullion,89300.0,91000.0,1700.0
2025-03-03 18:10:00,BAO-TIN-MINH-CHAU,Ring,90600.0,91800.0,1200.0
2025-03-03 18:10:00,BAO-TIN-MANH-HAI,Ring,90600.0,90600.0,0.0
2025-03-03 18:10:00,MI-HONG,Bullion,90600.0,91400.0,800.0
2025-03-03 18:10:00,MI-HONG,Ring,90300.0,91400.0,1100.0
2025-03-03 18:10:00,NGOC-THAM,Bullion,89500.0,92000.0,2500.0
2025-03-03 18:10:00,NGOC-THAM,Ring,89400.0,91600.0,2200.0
2025-03-04 15:10:00,DOJI,Bullion,90000.0,92000.0,2000.0
2025-03-04 15:10:00,DOJI,Ring,91520.0,92600.0,1080.0
2025-03-04 15:10:00,PNJ,Bullion,90100.0,92100.0,2000.0
2025-03-04 15:10:00,PNJ,Ring,91300.0,92500.0,1200.0
2025-03-04 15:10:00,SJC,Bullion,90100.0,92100.0,2000.0
2025-03-04 15:10:00,SJC,Ring,90100.0,92000.0,1900.0
2025-03-04 15:10:00,PHU-QUY,Bullion,90300.0,92100.0,1800.0
2025-03-04 15:10:00,PHU-QUY,Ring,91200.0,92600.0,1400.0
2025-03-04 15:10:00,BAO-TIN-MINH-CHAU,Bullion,90300.0,92100.0,1800.0
2025-03-04 15:10:00,BAO-TIN-MINH-CHAU,Ring,91550.0,92700.0,1150.0
2025-03-04 15:10:00,BAO-TIN-MANH-HAI,Ring,91200.0,91200.0,0.0
2025-03-04 15:10:00,MI-HONG,Bullion,91500.0,92500.0,1000.0
2025-03-04 15:10:00,MI-HONG,Ring,91300.0,92500.0,1200.0
2025-03-04 15:10:00,NGOC-THAM,Bullion,90300.0,92800.0,2500.0
2025-03-04 15:10:00,NGOC-THAM,Ring,90100.0,92300.0,2200.0
2025-03-04 18:10:00,DOJI,Bullion,90100.0,92100.0,2000.0
2025-03-04 18:10:00,DOJI,Ring,91600.0,92700.0,1100.0
2025-03-04 18:10:00,PNJ,Bullion,90700.0,92700.0,2000.0
2025-03-04 18:10:00,PNJ,Ring,91500.0,92700.0,1200.0
2025-03-04 18:10:00,SJC,Bullion,90700.0,92700.0,2000.0
2025-03-04 18:10:00,SJC,Ring,90700.0,92600.0,1900.0
2025-03-04 18:10:00,PHU-QUY,Bullion,90700.0,92700.0,2000.0
2025-03-04 18:10:00,PHU-QUY,Ring,91300.0,92700.0,1400.0
2025-03-04 18:10:00,BAO-TIN-MINH-CHAU,Bullion,90700.0,92700.0,2000.0
2025-03-04 18:10:00,BAO-TIN-MINH-CHAU,Ring,91600.0,92800.0,1200.0
2025-03-04 18:10:00,BAO-TIN-MANH-HAI,Ring,91600.0,91600.0,0.0
2025-03-04 18:10:00,MI-HONG,Bullion,91700.0,92900.0,1200.0
2025-03-04 18:10:00,MI-HONG,Ring,91500.0,92900.0,1400.0
2025-03-04 18:10:00,NGOC-THAM,Bullion,91000.0,93500.0,2500.0
2025-03-04 18:10:00,NGOC-THAM,Ring,90600.0,92800.0,2200.0
2025-03-05 09:18:00,DOJI,Bullion,90700.0,92700.0,2000.0
2025-03-05 09:18:00,DOJI,Ring,91600.0,92900.0,1300.0
2025-03-05 09:18:00,PNJ,Bullion,90700.0,92700.0,2000.0
2025-03-05 09:18:00,PNJ,Ring,91700.0,92900.0,1200.0
2025-03-05 09:18:00,SJC,Bullion,90700.0,92700.0,2000.0
2025-03-05 09:18:00,SJC,Ring,90700.0,92600.0,1900.0
2025-03-05 09:18:00,PHU-QUY,Bullion,90900.0,92700.0,1800.0
2025-03-05 09:18:00,PHU-QUY,Ring,91600.0,93000.0,1400.0
2025-03-05 09:18:00,BAO-TIN-MINH-CHAU,Bullion,90900.0,92700.0,1800.0
2025-03-05 09:18:00,BAO-TIN-MINH-CHAU,Ring,91900.0,93100.0,1200.0
2025-03-05 09:18:00,BAO-TIN-MANH-HAI,Ring,91400.0,91400.0,0.0
2025-03-05 09:18:00,MI-HONG,Bullion,92100.0,93500.0,1400.0
2025-03-05 09:18:00,MI-HONG,Ring,92000.0,93500.0,1500.0
2025-03-05 09:18:00,NGOC-THAM,Bullion,90700.0,93200.0,2500.0
2025-03-05 09:18:00,NGOC-THAM,Ring,90300.0,92500.0,2200.0
2025-03-05 10:21:00,DOJI,Bullion,90700.0,92700.0,2000.0
2025-03-05 10:21:00,DOJI,Ring,91600.0,92900.0,1300.0
2025-03-05 10:21:00,PNJ,Bullion,90700.0,92700.0,2000.0
2025-03-05 10:21:00,PNJ,Ring,91700.0,92900.0,1200.0
2025-03-05 10:21:00,SJC,Bullion,90700.0,92700.0,2000.0
2025-03-05 10:21:00,SJC,Ring,90700.0,92600.0,1900.0
2025-03-05 10:21:00,PHU-QUY,Bullion,90900.0,92700.0,1800.0
2025-03-05 10:21:00,PHU-QUY,Ring,91500.0,92900.0,1400.0
2025-03-05 10:21:00,BAO-TIN-MINH-CHAU,Bullion,90900.0,92700.0,1800.0
2025-03-05 10:21:00,BAO-TIN-MINH-CHAU,Ring,91900.0,93100.0,1200.0
2025-03-05 10:21:00,BAO-TIN-MANH-HAI,Ring,91900.0,91900.0,0.0
2025-03-05 10:21:00,MI-HONG,Bullion,91800.0,93000.0,1200.0
2025-03-05 10:21:00,MI-HONG,Ring,91700.0,93000.0,1300.0
2025-03-05 10:21:00,NGOC-THAM,Bullion,90700.0,93200.0,2500.0
2025-03-05 10:21:00,NGOC-THAM,Ring,90300.0,92500.0,2200.0
2025-03-05 13:17:00,DOJI,Bullion,90700.0,92700.0,2000.0
2025-03-05 13:17:00,DOJI,Ring,91700.0,93000.0,1300.0
2025-03-05 13:17:00,PNJ,Bullion,90700.0,92700.0,2000.0
2025-03-05 13:17:00,PNJ,Ring,91700.0,92900.0,1200.0
2025-03-05 13:17:00,SJC,Bullion,90700.0,92700.0,2000.0
2025-03-05 13:17:00,SJC,Ring,90700.0,92600.0,1900.0
2025-03-05 13:17:00,PHU-QUY,Bullion,90900.0,92700.0,1800.0
2025-03-05 13:17:00,PHU-QUY,Ring,91600.0,93000.0,1400.0
2025-03-05 13:17:00,BAO-TIN-MINH-CHAU,Bullion,90900.0,92700.0,1800.0
2025-03-05 13:17:00,BAO-TIN-MINH-CHAU,Ring,91900.0,93100.0,1200.0
